Main food description,WWEIA Category description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total(g)",Total Fat (g),Cholesterol (mg),Iron (mg),Potassium (mg),Sodium (mg)
"Cabbage, fresh, pickled, Japanese style","Olives, pickles, pickled vegetables",41,1.06,9.67,7.52,0.1,0,0.39,141,959
"Cabbage, red, pickled","Olives, pickles, pickled vegetables",46,1.19,10.97,8.05,0.15,0,0.67,202,967
Kimchi,"Olives, pickles, pickled vegetables",15,1.1,2.4,1.06,0.5,0,2.5,151,498
"Pickles, dill","Olives, pickles, pickled vegetables",14,0.48,1.99,1.28,0.43,0,0.23,112,808
"Relish, pickle","Olives, pickles, pickled vegetables",130,0.37,35.06,29.13,0.47,0,0.87,25,811
"Pickles, sweet","Olives, pickles, pickled vegetables",91,0.58,21.15,18.27,0.41,0,0.25,100,457
"Eggplant, pickled","Olives, pickles, pickled vegetables",41,0.81,9.74,7.8,0.16,0,0.2,190,946
"Ginger root, pickled","Olives, pickles, pickled vegetables",20,0.33,4.83,0,0.1,0,0.28,36,906
Horseradish,Mustard and other condiments,48,1.18,11.29,7.99,0.69,0,0.42,246,420
"Mushrooms, pickled","Olives, pickles, pickled vegetables",46,2.4,8.29,6.51,0.3,0,0.19,308,949
Mustard,Mustard and other condiments,69,4.25,5.3,1.42,3.38,0,1.59,150,1100
Honey mustard dip,Mustard and other condiments,275,1.77,25.16,24.1,18.01,51,0.61,64,509
"Okra, pickled","Olives, pickles, pickled vegetables",48,1.6,11.04,6.1,0.17,0,0.52,248,950
"Olives, NFS","Olives, pickles, pickled vegetables",116,0.84,6.04,0,10.9,0,6.28,8,735
"Olives, green","Olives, pickles, pickled vegetables",145,1.03,3.84,0.54,15.32,0,0.49,42,1556
"Olives, black","Olives, pickles, pickled vegetables",116,0.84,6.04,0,10.9,0,6.28,8,735
"Olives, stuffed","Olives, pickles, pickled vegetables",141,1.15,4.96,0,12.9,0,0.31,43,1620
Olive tapenade,"Olives, pickles, pickled vegetables",282,0.73,4.17,0.16,30.05,0,3.4,17,835
Hot pepper sauce,Mustard and other condiments,12,1.29,0.8,0.13,0.76,0,1.16,128,633
"Peppers, pickled","Olives, pickles, pickled vegetables",39,0.75,9.11,7.38,0.19,0,0.31,156,947
"Pepper, hot, pickled","Olives, pickles, pickled vegetables",22,0.8,4.56,1.6,0.4,0,0.32,113,1430
"Jalapenos, NFS",Other vegetables and combinations,26,0.86,5.53,2.86,0.38,0,0.28,180,716
"Radishes, pickled, Hawaiian style","Olives, pickles, pickled vegetables",34,0.56,7.68,6.41,0.1,0,0.29,194,977
"Seaweed, pickled","Olives, pickles, pickled vegetables",54,2.91,11.44,5.35,0.42,0,1.89,137,1263
"Vegetables, pickled","Olives, pickles, pickled vegetables",43,0.99,9.85,7.48,0.23,0,0.3,225,978
"Turnip, pickled","Olives, pickles, pickled vegetables",44,0.75,10.19,8.02,0.1,0,0.25,159,1000
Wasabi paste,Mustard and other condiments,292,2.23,46.13,13.2,10.9,0,0.5,182,3390
"Zucchini, pickled","Olives, pickles, pickled vegetables",35,1,7.44,6.94,0.28,0,0.31,217,951
"Butter, stick",Butter and animal fats,743,0.85,0.06,0.58,82.2,235,0.06,23,524
"Butter, tub",Butter and animal fats,731,0.49,0,0.06,78.3,225,0.05,41,583
"Butter, light",Butter and animal fats,499,3.3,0,0,55.1,106,1.09,71,450
"Margarine, stick",Margarine,717,0.16,0.7,0,80.71,0,0.06,18,751
"Margarine, tub",Margarine,533,0.17,0.86,0,59.81,1,0,30,674
Lard,Butter and animal fats,902,0,0,0,100,95,0,0,0
"Ghee, clarified butter",Butter and animal fats,876,0.28,0,0,99.48,256,0,5,2
Garlic sauce,"Dips, gravies, other sauces",683,1.43,2.87,0.62,74.02,212,0.22,61,473
Lemon-butter sauce,"Dips, gravies, other sauces",671,0.8,0.74,0.77,74,212,0.06,31,472
Hollandaise sauce,"Dips, gravies, other sauces",546,5.4,1.03,0.77,57.98,466,0.86,57,329
Sandwich spread,Mayonnaise,389,0.9,22.4,15.18,34,76,0.2,35,1000
Tartar sauce,Mayonnaise,211,1,13.3,4.25,16.7,7,0.25,68,667
Horseradish sauce,Mustard and other condiments,503,1.09,10.05,8.98,50.89,50,0.23,44,730
Pesto sauce,"Dips, gravies, other sauces",580,8.61,5.67,0.7,59.17,16,1.87,199,988
Fry sauce,Mustard and other condiments,535,0.98,7.28,5.74,56.16,32,0.24,85,481
"Sauce, NFS","Dips, gravies, other sauces",109,1.66,12.65,4.56,5.71,13,0.2,56,969
Curry sauce,"Dips, gravies, other sauces",94,1.36,4.96,3.41,8.14,1,0.9,267,384
Honey butter,Butter and animal fats,485,0.53,48.5,48.54,33.85,97,0.27,40,218
"Vegetable oil, NFS",Salad dressings and vegetable oils,900,0,0,0,100,0,0.16,0,0
Almond oil,Salad dressings and vegetable oils,884,0,0,0,100,0,0,0,0
Coconut oil,Salad dressings and vegetable oils,895,0,0.84,0,99.1,0,0.05,0,0
